"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig_LFC1","sig_LFC2","sig_LFC3"
"YIPF6",-0.153830176368793,8.94797700396134,-0.64379666678808,0.523139650837807,0.951720455548197,-4.93041792099675,"Not Significant","Not Significant","Not Significant"
"DLGAP4",0.104209471991266,7.88647947089392,0.643730774945697,0.523181974788417,0.951720455548197,-4.93044376355557,"Not Significant","Not Significant","Not Significant"
"CAST",-0.154069079781849,8.65382375751262,-0.64372979237795,0.523182605929611,0.951720455548197,-4.93044414889585,"Not Significant","Not Significant","Not Significant"
"ABCA2",-0.140515861383634,7.2471013184234,-0.643404068361885,0.523391853336018,0.951720455548197,-4.93057185875418,"Not Significant","Not Significant","Not Significant"
"ABTB2",-0.0906543507124045,6.97815372828518,-0.643292857495334,0.523463306161428,0.951720455548197,-4.93061544790061,"Not Significant","Not Significant","Not Significant"
"HRAS",0.237127538426754,8.45521817480529,0.643200779521471,0.523522470051079,0.951720455548197,-4.93065153235231,"Not Significant","Not Significant","Not Significant"
"STX16",-0.215239983443352,9.24949944026359,-0.643077403035625,0.52360175009097,0.951720455548197,-4.93069987450211,"Not Significant","Not Significant","Not Significant"
"PIGZ",0.218556654587003,7.88449909503466,0.642742631093106,0.523816902074663,0.951720455548197,-4.93083100147608,"Not Significant","Not Significant","Not Significant"
"NUCKS1",-0.171448470629513,10.1128306784942,-0.642421802616369,0.524023136877545,0.951720455548197,-4.93095660456665,"Not Significant","Not Significant","Not Significant"
"SFTPB",0.242468033797369,7.19848238078496,0.642350269439192,0.524069125674157,0.951720455548197,-4.93098460120339,"Not Significant","Not Significant","Not Significant"
"RAD54L",-0.189716039375373,8.36988688226964,-0.64229643841808,0.524103735138101,0.951720455548197,-4.93100566757386,"Not Significant","Not Significant","Not Significant"
"KMT5B",0.168237404192139,9.13260123575757,0.642153410548996,0.524195697634352,0.951720455548197,-4.93106163212021,"Not Significant","Not Significant","Not Significant"
"SH3GL1",-0.150198683646022,9.34693050276975,-0.641693105426047,0.524491717701051,0.951720455548197,-4.93124165989937,"Not Significant","Not Significant","Not Significant"
"NPM1",-0.140055080043751,12.6402917735311,-0.641679295294523,0.524500600301651,0.951720455548197,-4.9312470591737,"Not Significant","Not Significant","Not Significant"
"MOGS",-0.158970948674483,8.95573991739768,-0.641600244615305,0.524551446798942,0.951720455548197,-4.93127796302442,"Not Significant","Not Significant","Not Significant"
"OSBPL11",-0.196502360899293,8.93628027548768,-0.641032430504873,0.524916749550655,0.951720455548197,-4.93149983376332,"Not Significant","Not Significant","Not Significant"
"MORC2",-0.149218354258064,7.90885477492617,-0.640203898029405,0.5254500270898,0.951720455548197,-4.93182323591284,"Not Significant","Not Significant","Not Significant"
"PSMA7",0.187529203988739,10.2506942992986,0.640192224966876,0.525457542401721,0.951720455548197,-4.9318277893657,"Not Significant","Not Significant","Not Significant"
"MFNG",0.0969783270458229,7.10320918660817,0.640122540169575,0.525502407818226,0.951720455548197,-4.93185497047711,"Not Significant","Not Significant","Not Significant"
"CLDN3",-0.384057997275427,10.8661512834927,-0.639847057153002,0.525679792911865,0.951720455548197,-4.93196239662501,"Not Significant","Not Significant","Not Significant"
