"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","significance"
"ENSG00000198976",3.93691915009378,0.298449139951982,0.58909650376655,0.506621815006142,0.612420198759182,0.981845273466937,"MIR429","Not Significant"
"ENSG00000272141",28.2491566012663,0.491516599538731,0.49804039705781,0.9869010675487,0.323691140852319,0.942784346633094,"ENSG00000272141","Not Significant"
"ENSG00000205231",0.708213632526977,0.0403808406475726,0.702683871175468,0.0574665824903914,0.954173525409391,NA,"TTLL10-AS1","Not Significant"
"ENSG00000162571",32.7357031852724,0.0273147110688566,0.668753644664295,0.0408442051670136,0.96742009811604,0.997253820813812,"TTLL10","Not Significant"
"ENSG00000186891",24.634192554824,-0.195017657308553,0.399205362766688,-0.4885146230426,0.625185370535343,0.983047289724774,"TNFRSF18","Not Significant"
"ENSG00000186827",18.4174330671423,-0.0481675225949717,0.513435496857201,-0.0938141653426979,0.925256778997566,0.996990388498906,"TNFRSF4","Not Significant"
"ENSG00000078808",587.294329829568,0.234324370239735,0.250402443225185,0.935791069853934,0.349380770255402,0.948436871406238,"SDF4","Not Significant"
"ENSG00000176022",132.437268908581,-0.116822899852371,0.228378085233324,-0.511532880806044,0.608977970487015,0.980522530791916,"B3GALT6","Not Significant"
"ENSG00000184163",6.39105207556941,-0.840566976373596,0.664614104301504,-1.26474441474127,0.20596296291973,0.878125349782291,"C1QTNF12","Not Significant"
"ENSG00000260179",9.88396330374908,0.271819606759893,0.341605690381229,0.795711589161599,0.426199689249546,0.966832522338044,"ENSG00000260179","Not Significant"
"ENSG00000160087",281.72368792508,0.0721680173150325,0.18264563040899,0.395125890246758,0.69274998257442,0.989274052258359,"UBE2J2","Not Significant"
"ENSG00000230415",5.13367984291246,-0.137098114268356,0.4994662933751,-0.274489221969169,0.78370868528928,0.993996023036238,"LINC01786","Not Significant"
"ENSG00000162572",29.7786119873063,0.239306852662621,0.376433737430747,0.635721054908493,0.524958250596253,0.978940003025155,"SCNN1D","Not Significant"
"ENSG00000131584",416.559689434452,0.689772951850762,0.272889596373562,2.52766305867712,0.0114824490226202,0.311926934428679,"ACAP3","Not Significant"
"ENSG00000278073",0,NA,NA,NA,NA,NA,"MIR6726","Not Significant"
"ENSG00000169972",58.8990313649601,-0.60349284817315,0.347735964900569,-1.7354916059537,0.0826537670055072,0.690654684424886,"PUSL1","Not Significant"
"ENSG00000127054",411.938929552243,-0.0211804070673571,0.205717678002417,-0.102958614315627,0.917995817326872,0.996435111175685,"INTS11","Not Significant"
"ENSG00000283712",0,NA,NA,NA,NA,NA,"MIR6727","Not Significant"
"ENSG00000240731",42.4085723316017,-0.229986694424941,0.351420152075728,-0.654449362298895,0.512822340976702,0.978564600873261,"ENSG00000240731","Not Significant"
"ENSG00000224051",85.2481634678606,-0.348928391190534,0.245870199683514,-1.41915690327529,0.155853277290793,0.824345795615631,"CPTP","Not Significant"
"ENSG00000169962",12.7202527581547,-0.199448709087642,0.474241172722905,-0.420563883018606,0.674073571656599,0.987260837075304,"TAS1R3","Not Significant"
"ENSG00000107404",263.127638801096,0.069645995510128,0.259382896673001,0.268506506803066,0.788309467002919,0.993998318826653,"DVL1","Not Significant"
"ENSG00000284372",0,NA,NA,NA,NA,NA,"MIR6808","Not Significant"
"ENSG00000162576",413.172808096163,-0.708118821103008,0.380098426688119,-1.86298803515974,0.0624639496161327,0.636881454806717,"MXRA8","Not Significant"
"ENSG00000175756",133.753941539994,-0.103616978475535,0.267869584465444,-0.386818752425034,0.698890393446858,0.990328837749126,"AURKAIP1","Not Significant"
"ENSG00000223663",0.150030190046666,-0.284474453032909,2.2195415077973,-0.128168115817408,0.898015931820119,NA,"NDUFB4P8","Not Significant"
"ENSG00000221978",1603.22916291738,0.081101452411195,0.23099271202143,0.351099615660909,0.725513616273758,0.993937106591426,"CCNL2","Not Significant"
"ENSG00000224870",102.721433041646,-0.586102995625018,0.308825720364705,-1.89784385488639,0.0577166542274477,0.619255554124354,"ENSG00000224870","Not Significant"
"ENSG00000242485",279.946439219926,-0.441435869434753,0.189991462451822,-2.32345108426486,0.0201549325440512,0.410555628647252,"MRPL20","Not Significant"
"ENSG00000264293",0,NA,NA,NA,NA,NA,"RN7SL657P","Not Significant"
"ENSG00000272455",34.018709420583,-0.63592656695367,0.38828103794079,-1.63779969870855,0.101463484464063,0.737230010761023,"ENSG00000272455","Not Significant"
"ENSG00000235098",105.299475127691,-0.0778005943874085,0.421088905261812,-0.18476049455408,0.853416895092868,0.996435111175685,"ANKRD65","Not Significant"
"ENSG00000225905",0.915958955210982,0.374934683430602,0.582932560862202,0.643187065886396,0.520102724888048,NA,"ENSG00000225905","Not Significant"
"ENSG00000205116",0.960707177631664,-0.74026231752612,0.842623015103534,-0.878521360391709,0.379660851026695,NA,"TMEM88B","Not Significant"
"ENSG00000225285",8.15697435552259,-0.691002156907746,0.546642535739427,-1.26408413493298,0.206199830351768,0.878125349782291,"LINC01770","Not Significant"
"ENSG00000179403",344.964889403778,-0.596905782940516,0.377094839145811,-1.58290626382641,0.113442830851813,0.762890139948505,"VWA1","Not Significant"
"ENSG00000215915",35.6356267016923,-0.328452570682144,0.359285995147222,-0.91418139064273,0.360621540850564,0.952405674396557,"ATAD3C","Not Significant"
"ENSG00000160072",208.681120974714,0.0298131049352217,0.251807657147001,0.118396339781746,0.905753625813054,0.996435111175685,"ATAD3B","Not Significant"
"ENSG00000197785",87.4865122377274,0.126577289880884,0.262418016014484,0.482349847023834,0.629557442429631,0.983047289724774,"ATAD3A","Not Significant"
"ENSG00000205090",6.57484417313205,0.591147968850101,0.360145350121426,1.64141496940274,0.100711304601369,0.736088576209776,"TMEM240","Not Significant"
"ENSG00000160075",584.961882227335,-0.0175160937375748,0.145718438879371,-0.120205060336085,0.904320709275869,0.996435111175685,"SSU72","Not Significant"
"ENSG00000215014",5.17282898726163,0.11188470676223,0.273952609712268,0.408408983143991,0.682973439412945,0.9872855115814,"ENSG00000215014","Not Significant"
"ENSG00000274481",0,NA,NA,NA,NA,NA,"ENSG00000274481","Not Significant"
"ENSG00000228594",33.9147834169033,-0.286098433978675,0.478840204060997,-0.597482065107111,0.550185577658749,0.979846821054155,"FNDC10","Not Significant"
"ENSG00000272106",38.5977656623629,0.0392413139069812,0.299877344300621,0.130857881239746,0.895887733997777,0.996435111175685,"ENSG00000272106","Not Significant"
"ENSG00000197530",267.705497116331,-0.396126784739082,0.332693066423506,-1.19066738900662,0.233784184959942,0.899535765881754,"MIB2","Not Significant"
"ENSG00000189409",2.55334268776926,0.267988153873379,0.673533286814171,0.397884052829772,0.690715655656693,NA,"MMP23B","Not Significant"
"ENSG00000248333",136.796345413035,-0.0172783234786603,0.219440693863494,-0.0787380096847876,0.937241011960016,0.997011555098508,"CDK11B","Not Significant"
"ENSG00000272004",0.777423036350264,-1.12876150468005,0.76160064476169,-1.48209105709626,0.138316068007655,NA,"ENSG00000272004","Not Significant"
"ENSG00000189339",469.648979939779,0.125533458547647,0.223712399793095,0.56113768688615,0.574703678369007,0.980084701671367,"SLC35E2B","Not Significant"
"ENSG00000269737",0.90020142331963,-0.636871174205205,0.949776784483208,-0.670548264192137,0.502508350073741,NA,"ENSG00000269737","Not Significant"
"ENSG00000215914",0.189333399481113,-1.42362626123994,2.27883890960352,-0.62471561953786,0.5321577198186,NA,"MMP23A","Not Significant"
"ENSG00000008128",13.289568734004,0.440004266538537,0.363432301080597,1.21069113898315,0.22601379970586,0.897871170824962,"CDK11A","Not Significant"
"ENSG00000268575",47.6400945169731,0.442880222073965,0.326240636501429,1.35752623224184,0.174614064176426,0.843803780977107,"ENSG00000268575","Not Significant"
"ENSG00000227775",11.3992613764244,-2.78144975394145,0.884656846591155,-3.14410018377092,0.00166598393631294,0.108912006763352,"ENSG00000227775","Not Significant"
"ENSG00000215790",45.1358900051166,0.0692355974798643,0.32100047551032,0.215686900057687,0.829231813127905,0.996435111175685,"SLC35E2","Not Significant"
"ENSG00000008130",407.94715556422,-0.0579206632572047,0.267063921504621,-0.216879400747519,0.828302331360448,0.996435111175685,"NADK","Not Significant"
"ENSG00000078369",2072.36919816143,0.0075415352807467,0.223840619862819,0.033691540370861,0.973123124950511,0.997253820813812,"GNB1","Not Significant"
"ENSG00000231050",8.29684164836358,-0.00592646477665184,0.50348747310544,-0.0117708286565667,0.990608454417778,0.999204031394849,"ENSG00000231050","Not Significant"
"ENSG00000169885",6.58908124129244,0.0913201494735833,0.510333180367231,0.17894221458983,0.857983075257417,0.996435111175685,"CALML6","Not Significant"
"ENSG00000178821",4.82500472341985,0.804256384356928,0.459565035910796,1.7500382350955,0.0801117163053104,0.683357472571783,"TMEM52","Not Significant"
"ENSG00000142609",28.7888587284728,0.992478448324564,0.667529771605685,1.48679278519255,0.137069547634014,0.798913860233851,"CFAP74","Not Significant"
"ENSG00000233542",1.17078019774126,-0.207053402054356,0.863506362921078,-0.23978213820444,0.810499154722127,NA,"ENSG00000233542","Not Significant"
"ENSG00000187730",5.91695833970346,-0.285881194795079,0.515009921458101,-0.555098422154061,0.578827341967145,0.980084701671367,"GABRD","Not Significant"
"ENSG00000226969",0.531309661694806,0.523684517566112,0.963270643570194,0.543652524928162,0.586680607805307,NA,"ENSG00000226969","Not Significant"
"ENSG00000067606",230.874817560677,0.38571010198684,0.276466487041486,1.39514234117266,0.162972920174716,0.829759080761067,"PRKCZ","Not Significant"
"ENSG00000271806",0.520687547214296,-0.798473727537594,0.80309201172759,-0.994249371027784,0.320101477443849,NA,"ENSG00000271806","Not Significant"
"ENSG00000182873",16.6874721822401,-1.04489313056145,0.530655736889599,-1.96906027377752,0.0489461700424585,0.582329832658967,"PRKCZ-AS1","Not Significant"
"ENSG00000162585",233.642241460079,-0.513677151412683,0.304357932246926,-1.68774031161421,0.0914610898954097,0.716144883798958,"FAAP20","Not Significant"
